,Source Account,Date,Structured Timestamp,Tweets Ago,Tweet Text,Tweet Category,Compound,Positive,Neutral,Negative
0,BBC,Wed Aug 01 16:05:18 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=16, tm_min=5, tm_sec=18, tm_wday=2, tm_yday=213, tm_isdst=-1)",1,"RT @BBCSport: The FA is considering putting England forward as a potential host for the 2030 World Cup.
https://t.co/tdHuLU90r4 https://t.c…",Sports,0.0,0.0,1.0,0.0
1,BBC,Wed Aug 01 09:41:30 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=9, tm_min=41, tm_sec=30, tm_wday=2, tm_yday=213, tm_isdst=-1)",2,Former EDL leader Tommy Robinson freed on bail after winning legal challenge against contempt of court finding https://t.co/YekFys62a7,Legal/Criminal,0.4767,0.346,0.506,0.148
2,BBC,Tue Jul 31 21:41:13 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=31, tm_hour=21, tm_min=41, tm_sec=13, tm_wday=1, tm_yday=212, tm_isdst=-1)",3,"Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",Disaster/War,0.0,0.0,1.0,0.0
3,BBC,Tue Jul 31 15:49:55 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=31, tm_hour=15, tm_min=49, tm_sec=55, tm_wday=1, tm_yday=212, tm_isdst=-1)",4,"UK man jailed for 17 years for manslaughter, after woman was splashed with acid and died 11 days later https://t.co/C23RYKyjo6",Legal/Criminal,-0.7783,0.0,0.726,0.274
4,BBC,Mon Jul 30 09:16:49 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=30, tm_hour=9, tm_min=16, tm_sec=49, tm_wday=0, tm_yday=211, tm_isdst=-1)",5,"Doctors and families can agree to allow people in long-term vegetative states to die without legal application, UK… https://t.co/nau6IaaFAe",Legal/Criminal,-0.2192,0.178,0.608,0.214
5,BBC,Sun Jul 29 17:12:57 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=29, tm_hour=17, tm_min=12, tm_sec=57, tm_wday=6, tm_yday=210, tm_isdst=-1)",6,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",Sports,0.6239,0.17,0.83,0.0
6,BBC,Sun Jul 29 14:58:52 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=29, tm_hour=14, tm_min=58, tm_sec=52, tm_wday=6, tm_yday=210, tm_isdst=-1)",7,"RT @BBCSport: Lewis Hamilton has won the #HungarianGP for the sixth time. 

His lead in the championship is up to 24 points.

Reaction: htt…",Sports,0.765,0.231,0.769,0.0
7,BBC,Fri Jul 27 05:53:04 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=27, tm_hour=5, tm_min=53, tm_sec=4, tm_wday=4, tm_yday=208, tm_isdst=-1)",8,Five dead and five injured after car and minibus crash on A96 in Moray https://t.co/1jBgjqgX7P,Disaster/War,-0.8658,0.0,0.553,0.447
8,BBC,Fri Jul 27 01:59:48 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=27, tm_hour=1, tm_min=59, tm_sec=48, tm_wday=4, tm_yday=208, tm_isdst=-1)",9,"North Korea has returned the remains of US troops killed during the Korean War, White House confirms https://t.co/rpsPNChksr",Disaster/War,-0.8555,0.0,0.656,0.344
9,BBC,Thu Jul 26 23:04:29 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=26, tm_hour=23, tm_min=4, tm_sec=29, tm_wday=3, tm_yday=207, tm_isdst=-1)",10,"More than 1,800 migrant children in US reunited with family members by a court-ordered deadline, government says https://t.co/pzjlsaBOrN",Disaster/War,0.0,0.0,1.0,0.0
10,BBC,Thu Jul 26 12:17:23 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=26, tm_hour=12, tm_min=17, tm_sec=23, tm_wday=3, tm_yday=207, tm_isdst=-1)",11,Former cricketer Imran Khan claims victory in Pakistan's election amid accusations of vote rigging by rivals https://t.co/r8z5wnYu7z,Politics,-0.3182,0.0,0.874,0.126
